id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma
75,light,English (American),WS,word,household,nouns,nouns,light,52444800,607,light,light
76,horse,English (American),WS,word,animals,nouns,nouns,horse,52704000,610,horse,horse
77,belly button,English (American),WS,word,body_parts,nouns,nouns,belly button,52704000,610,belly button,belly button
78,flower,English (American),WS,word,outside,nouns,nouns,flower,52704000,610,flower,flower
79,blanket,English (American),WS,word,household,nouns,nouns,blanket,52790400,611,blanket,blanket
80,bunny,English (American),WS,word,animals,nouns,nouns,bunny,52876800,612,bunny,bunny
81,sock,English (American),WS,word,clothing,nouns,nouns,sock,53136000,615,sock,sock
82,boat,English (American),WS,word,vehicles,nouns,nouns,boat,53222400,616,boat,boat
83,bed,English (American),WS,word,furniture_rooms,nouns,nouns,bed,53308800,617,bed,bed
84,puppy,English (American),WS,word,animals,nouns,nouns,puppy,53481600,619,puppy,puppy
85,pig,English (American),WS,word,animals,nouns,nouns,pig,53568000,620,pig,pig
86,chair,English (American),WS,word,furniture_rooms,nouns,nouns,chair,53568000,620,chair,chair
87,moon,English (American),WS,word,outside,nouns,nouns,moon,53568000,620,moon,moon
88,bus,English (American),WS,word,vehicles,nouns,nouns,bus,53913600,624,bus,bus
89,foot,English (American),WS,word,body_parts,nouns,nouns,foot,54000000,625,foot,foot
90,toe,English (American),WS,word,body_parts,nouns,nouns,toe,54000000,625,toe,toe
91,train,English (American),WS,word,vehicles,nouns,nouns,train,54259200,628,train,train
92,bee,English (American),WS,word,animals,nouns,nouns,bee,54345600,629,bee,bee
93,cold,English (American),WS,word,descriptive_words,predicates,adjectives,cold,54432000,630,cold,cold
94,drink (beverage),English (American),WS,word,food_drink,nouns,nouns,drink,54518400,631,drink,drink
95,keys,English (American),WS,word,household,nouns,nouns,keys,54518400,631,keys,key
96,telephone,English (American),WS,word,household,nouns,nouns,telephone,54518400,631,telephone,telephone
97,potty,English (American),WS,word,furniture_rooms,nouns,nouns,potty,54518400,631,potty,potty
98,hand,English (American),WS,word,body_parts,nouns,nouns,hand,54691200,633,hand,hand
99,drink (action),English (American),WS,word,action_words,predicates,verbs,drink,54777600,634,drink,drink
100,kiss,English (American),WS,word,action_words,predicates,verbs,kiss,54777600,634,kiss,kiss
101,pet's name,English (American),WS,word,people,other,other,pet's name,54864000,635,pet's name,pet's name
102,bug,English (American),WS,word,animals,nouns,nouns,bug,55209600,639,bug,bug
103,monkey,English (American),WS,word,animals,nouns,nouns,monkey,55296000,640,monkey,monkey
104,block,English (American),WS,word,toys,nouns,nouns,block,55296000,640,block,block
105,toy (object),English (American),WS,word,toys,nouns,nouns,toy,55296000,640,toy,toy
106,tummy,English (American),WS,word,body_parts,nouns,nouns,tummy,55382400,641,tummy,tummy
107,pizza,English (American),WS,word,food_drink,nouns,nouns,pizza,55468800,642,pizza,pizza
108,off,English (American),WS,word,locations,function_words,function_words,off,55468800,642,off,off
109,head,English (American),WS,word,body_parts,nouns,nouns,head,55555200,643,head,head
110,toothbrush,English (American),WS,word,household,nouns,nouns,toothbrush,55641600,644,toothbrush,toothbrush
111,bread,English (American),WS,word,food_drink,nouns,nouns,bread,55814400,646,bread,bread
112,bicycle,English (American),WS,word,vehicles,nouns,nouns,bicycle,55900800,647,bicycle,bicycle
113,TV,English (American),WS,word,furniture_rooms,nouns,nouns,tv,55900800,647,tv,tv
114,home,English (American),WS,word,places,other,other,home,55900800,647,home,home
115,shirt,English (American),WS,word,clothing,nouns,nouns,shirt,56073600,649,shirt,shirt
116,tooth,English (American),WS,word,body_parts,nouns,nouns,tooth,56160000,650,tooth,tooth
117,on,English (American),WS,word,locations,function_words,function_words,on,56160000,650,on,on
118,finger,English (American),WS,word,body_parts,nouns,nouns,finger,56246400,651,finger,finger
119,swing (object),English (American),WS,word,outside,nouns,nouns,swing,56246400,651,swing,swing
120,hug,English (American),WS,word,action_words,predicates,verbs,hug,56246400,651,hug,hug
121,open,English (American),WS,word,action_words,predicates,verbs,open (action),56332800,652,open,open
122,arm,English (American),WS,word,body_parts,nouns,nouns,arm,56419200,653,arm,arm
123,ice cream,English (American),WS,word,food_drink,nouns,nouns,ice cream,56505600,654,ice cream,ice cream
124,brush,English (American),WS,word,household,nouns,nouns,brush,56505600,654,brush,brush
125,fork,English (American),WS,word,household,nouns,nouns,fork,56678400,656,fork,fork
126,sit,English (American),WS,word,action_words,predicates,verbs,sit,56678400,656,sit,sit
127,yucky,English (American),WS,word,descriptive_words,predicates,adjectives,yucky,56678400,656,yucky,yucky
128,doll,English (American),WS,word,toys,nouns,nouns,doll,56764800,657,doll,doll
129,rock,English (American),WS,word,outside,nouns,nouns,rock,56764800,657,rock,rock
130,out,English (American),WS,word,locations,function_words,function_words,out,56764800,657,out,out
131,frog,English (American),WS,word,animals,nouns,nouns,frog,56851200,658,frog,frog
132,cereal,English (American),WS,word,food_drink,nouns,nouns,cereal,56851200,658,cereal,cereal
133,egg,English (American),WS,word,food_drink,nouns,nouns,egg,56851200,658,egg,egg
134,me,English (American),WS,word,pronouns,function_words,function_words,me,56851200,658,me,me
135,grapes,English (American),WS,word,food_drink,nouns,nouns,grapes,56937600,659,grapes,grape
136,cake,English (American),WS,word,food_drink,nouns,nouns,cake,57024000,660,cake,cake
137,fish (food),English (American),WS,word,food_drink,nouns,nouns,fish,57024000,660,fish,fish
138,bathtub,English (American),WS,word,furniture_rooms,nouns,nouns,bathtub,57024000,660,bathtub,bathtub
139,bite,English (American),WS,word,action_words,predicates,verbs,bite,57024000,660,bite,bite
140,rain,English (American),WS,word,outside,nouns,nouns,rain,57196800,662,rain,rain
141,buttocks/bottom (child's word),English (American),WS,word,body_parts,nouns,nouns,butt,57283200,663,butt,butt
142,pants,English (American),WS,word,clothing,nouns,nouns,pants,57369600,664,pants,pant
143,box,English (American),WS,word,household,nouns,nouns,box,57369600,664,box,box
144,button,English (American),WS,word,clothing,nouns,nouns,button,57456000,665,button,button
145,dirty,English (American),WS,word,descriptive_words,predicates,adjectives,dirty,57456000,665,dirty,dirty
146,pillow,English (American),WS,word,household,nouns,nouns,pillow,57628800,667,pillow,pillow
147,big,English (American),WS,word,descriptive_words,predicates,adjectives,big,57888000,670,big,big
148,star,English (American),WS,word,outside,nouns,nouns,star,57974400,671,star,star
149,candy,English (American),WS,word,food_drink,nouns,nouns,candy,58060800,672,candy,candy
150,wet,English (American),WS,word,descriptive_words,predicates,adjectives,wet (description),58060800,672,wet,wet
151,boots,English (American),WS,word,clothing,nouns,nouns,boots,58147200,673,boots,boot
152,read,English (American),WS,word,action_words,predicates,verbs,read,58147200,673,read,read
153,soap,English (American),WS,word,household,nouns,nouns,soap,58233600,674,soap,soap
154,knee,English (American),WS,word,body_parts,nouns,nouns,knee,58320000,675,knee,knee
155,bowl,English (American),WS,word,household,nouns,nouns,bowl,58320000,675,bowl,bowl
156,nap,English (American),WS,word,games_routines,other,other,nap,58320000,675,nap,nap
157,elephant,English (American),WS,word,animals,nouns,nouns,elephant,58406400,676,elephant,elephant
158,coat,English (American),WS,word,clothing,nouns,nouns,coat,58406400,676,coat,coat
159,walk,English (American),WS,word,action_words,predicates,verbs,walk,58406400,676,walk,walk
160,chicken (food),English (American),WS,word,food_drink,nouns,nouns,chicken (food),58492800,677,chicken,chicken
161,paper,English (American),WS,word,household,nouns,nouns,paper,58492800,677,paper,paper
162,go potty,English (American),WS,word,games_routines,other,other,go potty,58492800,677,go potty,go potty
163,stop,English (American),WS,word,action_words,predicates,verbs,stop,58492800,677,stop,stop
164,house,English (American),WS,word,places,other,other,house,58579200,678,house,house
165,help,English (American),WS,word,action_words,predicates,verbs,help,58579200,678,help,help
166,turtle,English (American),WS,word,animals,nouns,nouns,turtle,58665600,679,turtle,turtle
167,ice,English (American),WS,word,food_drink,nouns,nouns,ice,58665600,679,ice,ice
168,orange (food),English (American),WS,word,food_drink,nouns,nouns,orange (food),58665600,679,orange,orange
169,play,English (American),WS,word,action_words,predicates,verbs,play,58665600,679,play,play
170,chicken (animal),English (American),WS,word,animals,nouns,nouns,chicken (animal),58838400,681,chicken,chicken
171,see,English (American),WS,word,action_words,predicates,verbs,see,58838400,681,see,see
172,clock,English (American),WS,word,household,nouns,nouns,clock,58924800,682,clock,clock
173,sleep,English (American),WS,word,action_words,predicates,verbs,sleep,59011200,683,sleep,sleep
174,lion,English (American),WS,word,animals,nouns,nouns,lion,59097600,684,lion,lion
175,french fries,English (American),WS,word,food_drink,nouns,nouns,french fries,59097600,684,french fries,french fries
176,blue,English (American),WS,word,descriptive_words,predicates,adjectives,blue,59097600,684,blue,blue
177,leg,English (American),WS,word,body_parts,nouns,nouns,leg,59184000,685,leg,leg
178,sun,English (American),WS,word,outside,nouns,nouns,sun,59184000,685,sun,sun
179,love,English (American),WS,word,action_words,predicates,verbs,love,59270400,686,love,love
180,swing (action),English (American),WS,word,action_words,predicates,verbs,swing (action),59270400,686,swing,swing
181,mouse,English (American),WS,word,animals,nouns,nouns,mouse,59356800,687,mouse,mouse
182,slide (object),English (American),WS,word,outside,nouns,nouns,slide (object),59356800,687,slide,slide
183,jump,English (American),WS,word,action_words,predicates,verbs,jump,59356800,687,jump,jump
184,butterfly,English (American),WS,word,animals,nouns,nouns,butterfly,59443200,688,butterfly,butterfly
185,crayon,English (American),WS,word,toys,nouns,nouns,crayon,59443200,688,crayon,crayon
186,towel,English (American),WS,word,household,nouns,nouns,towel,59529600,689,towel,towel
187,park,English (American),WS,word,places,other,other,park,59616000,690,park,park
188,teddybear,English (American),WS,word,animals,nouns,nouns,teddybear,59702400,691,teddybear,teddybear
189,boy,English (American),WS,word,people,other,other,boy,59961600,694,boy,boy
190,cry,English (American),WS,word,action_words,predicates,verbs,cry,59961600,694,cry,cry
191,tickle,English (American),WS,word,action_words,predicates,verbs,tickle,59961600,694,tickle,tickle
192,pajamas,English (American),WS,word,clothing,nouns,nouns,pajamas,60048000,695,pajamas,pajama
193,tongue,English (American),WS,word,body_parts,nouns,nouns,tongue,60048000,695,tongue,tongue
194,glasses,English (American),WS,word,household,nouns,nouns,glasses,60048000,695,glasses,glass
195,cheek,English (American),WS,word,body_parts,nouns,nouns,cheek,60220800,697,cheek,cheek
196,money,English (American),WS,word,household,nouns,nouns,money,60220800,697,money,money
197,dance,English (American),WS,word,action_words,predicates,verbs,dance,60307200,698,dance,dance
198,fall,English (American),WS,word,action_words,predicates,verbs,fall,60307200,698,fall,fall
199,toast,English (American),WS,word,food_drink,nouns,nouns,toast,60393600,699,toast,toast
200,grass,English (American),WS,word,outside,nouns,nouns,grass,60393600,699,grass,grass
201,sheep,English (American),WS,word,animals,nouns,nouns,sheep,60480000,700,sheep,sheep
202,food,English (American),WS,word,food_drink,nouns,nouns,food,60480000,700,food,food
203,broken,English (American),WS,word,descriptive_words,predicates,adjectives,broken,60566400,701,broken,broken
204,cheerios,English (American),WS,word,food_drink,nouns,nouns,cheerios,60652800,702,cheerios,cheerio
205,bathroom,English (American),WS,word,furniture_rooms,nouns,nouns,bathroom,60652800,702,bathroom,bathroom
206,table,English (American),WS,word,furniture_rooms,nouns,nouns,table,60739200,703,table,table
207,pool,English (American),WS,word,outside,nouns,nouns,pool,60739200,703,pool,pool
208,yogurt,English (American),WS,word,food_drink,nouns,nouns,yogurt,60912000,705,yogurt,yogurt
209,school,English (American),WS,word,places,other,other,school,60912000,705,school,school
210,bib,English (American),WS,word,clothing,nouns,nouns,bib,60998400,706,bib,bib
211,run,English (American),WS,word,action_words,predicates,verbs,run,60998400,706,run,run
212,owl,English (American),WS,word,animals,nouns,nouns,owl,61084800,707,owl,owl
213,call (on phone),English (American),WS,word,games_routines,other,other,call on phone,61084800,707,call on phone,call on phone
214,clap,English (American),WS,word,action_words,predicates,verbs,clap,61084800,707,clap,clap
215,that,English (American),WS,word,pronouns,function_words,function_words,that,61084800,707,that,that
216,face,English (American),WS,word,body_parts,nouns,nouns,face,61171200,708,face,face
217,store,English (American),WS,word,places,other,other,store,61171200,708,store,store
218,wash,English (American),WS,word,action_words,predicates,verbs,wash,61171200,708,wash,wash
219,carrots,English (American),WS,word,food_drink,nouns,nouns,carrots,61344000,710,carrots,carrot
220,broom,English (American),WS,word,household,nouns,nouns,broom,61344000,710,broom,broom
221,clean (description),English (American),WS,word,descriptive_words,predicates,adjectives,clean (description),61344000,710,clean,clean
222,pen,English (American),WS,word,toys,nouns,nouns,pen,61430400,711,pen,pen
223,jacket,English (American),WS,word,clothing,nouns,nouns,jacket,61430400,711,jacket,jacket
224,what,English (American),WS,word,question_words,function_words,function_words,what,61430400,711,what,what
225,tiger,English (American),WS,word,animals,nouns,nouns,tiger,61516800,712,tiger,tiger
226,look,English (American),WS,word,action_words,predicates,verbs,look,61516800,712,look,look
227,good,English (American),WS,word,descriptive_words,predicates,adjectives,good,61516800,712,good,good
228,inside/in,English (American),WS,word,locations,function_words,function_words,in,61516800,712,in,in
229,chin,English (American),WS,word,body_parts,nouns,nouns,chin,61603200,713,chin,chin
230,noodles,English (American),WS,word,food_drink,nouns,nouns,pasta,61776000,715,pasta,pasta
231,popcorn,English (American),WS,word,food_drink,nouns,nouns,popcorn,61776000,715,popcorn,popcorn
232,kitchen,English (American),WS,word,furniture_rooms,nouns,nouns,kitchen,61776000,715,kitchen,kitchen
233,work (place),English (American),WS,word,places,other,other,work (place),61776000,715,work,work
234,get,English (American),WS,word,action_words,predicates,verbs,get,61776000,715,get,get
235,I,English (American),WS,word,pronouns,function_words,function_words,i,61776000,715,i,i
236,corn,English (American),WS,word,food_drink,nouns,nouns,corn,61862400,716,corn,corn
237,plate,English (American),WS,word,household,nouns,nouns,plate,61862400,716,plate,plate
238,shower,English (American),WS,word,furniture_rooms,nouns,nouns,shower,61862400,716,shower,shower
239,girl,English (American),WS,word,people,other,other,girl,61862400,716,girl,girl
240,snack,English (American),WS,word,games_routines,other,other,snack,61862400,716,snack,snack
241,blow,English (American),WS,word,action_words,predicates,verbs,blow,61862400,716,blow,blow
242,red,English (American),WS,word,descriptive_words,predicates,adjectives,red,61862400,716,red,red
243,raisin,English (American),WS,word,food_drink,nouns,nouns,raisin,61948800,717,raisin,raisin
244,you,English (American),WS,word,pronouns,function_words,function_words,you,61948800,717,you,you
245,picture,English (American),WS,word,household,nouns,nouns,picture,62035200,718,picture,picture
246,clean (action),English (American),WS,word,action_words,predicates,verbs,clean (action),62121600,719,clean,clean
247,strawberry,English (American),WS,word,food_drink,nouns,nouns,strawberry,62208000,720,strawberry,strawberry
248,ride,English (American),WS,word,action_words,predicates,verbs,ride,62294400,721,ride,ride
249,breakfast,English (American),WS,word,games_routines,other,other,breakfast,62380800,722,breakfast,breakfast
250,happy,English (American),WS,word,descriptive_words,predicates,adjectives,happy,62380800,722,happy,happy
251,giraffe,English (American),WS,word,animals,nouns,nouns,giraffe,62467200,723,giraffe,giraffe
252,sky,English (American),WS,word,outside,nouns,nouns,sky,62467200,723,sky,sky
253,yellow,English (American),WS,word,descriptive_words,predicates,adjectives,yellow,62467200,723,yellow,yellow
254,firetruck,English (American),WS,word,vehicles,nouns,nouns,firetruck,62553600,724,firetruck,firetruck
255,medicine,English (American),WS,word,household,nouns,nouns,medicine,62553600,724,medicine,medicine
256,hungry,English (American),WS,word,descriptive_words,predicates,adjectives,hungry,62553600,724,hungry,hungry
